,0
60,What are the Angular JS filters you have used in your proje
61,Difference between comparable and comparatorDid you implement security in web servicesExplain 3 ways of security in web services
62,What is static variable and
63,how is it different from othersDifference between synchronized and volatil
64,what is spring io
65,how may spring ioc containers are there
66,what is target objectExplain your roles in your recent projectExplain me spring M
67,How would you make a REST Web Service
68,What were you personally responsible for on each of yourprojectsExplain to me one of the implementations you createdarecreating on your current project and walk me throu
69,Have you used jQuery Have you had front end technologies
70,What kind of implementations did you create with jQuery andJavaScript
71,What is Spring MVC Explain Spring MVC to m
72, 
73,What makesSpring MVC Spring MVCAnother guy asked me theseHave you done anything with MulesoftIf you have
74,what have you done with it
75,What are two things you typically do whenever you begin a new contract with a clie
76,What is Inheritanc
77,what is the difference between Array List and Linked List
78,What is the difference between List Set and Map
79,What types of design pattern you have worked on Difference between the
80,what is the bean life cycle
81,What is the benefit of using Dependency Injection
82,What types of Dependency injection used in projects
83,What is Spring MVC architectu
84,How to implement Annotation based configuration in spring
85,How to integrate Spring with Hibernate
86,what is TDD
87,What is TDD cycle
88,What is Jun
89,How to perform debuggingHave you involved in Scrum meeting
90,What is Agile development methodolog
91,How JIRA works
92,What types of tasks are created in JIRA
93,What is the key requirement of team workStrut
94,How to improve performance of database such as Oracle
95,How to perform Validation using JavaScript
96,How you used JSON in JavaScript
97,What are JavaScript Scope
98,How to create Restful webservices
99,How to puclish Restful WebservicesDifference between SOAP and Restful Webservice
100,What are immutable objects
101,What is the purpose of Garbage collector
102,What is NullpointerException
103,What is the difference between Hashmap and HashtableGive an example hashtable from your project
104,What is Spring IOC
105,What is Spring AOPGive few example of Aspect oriented programming terms
106,What is beans life cycle
107,What are SOAP based Webservices
108,What are the limitation in SOAP webservicesHave you worked on Struts
109,What are design patterns in jav
110,How to perform Logging
111,What are fetching techniques in Hibernat
112,How to perform integration between spring and Hibernat
113,What are references in Java
114,What are types of Collection Framework in java
115,What is Immutable object
116,What the key difference between Soap and Restful Web service
117,How to Create Soap based webservices
118,What are the design pattern
119,What is the default bean scop
120,How to improve Database performanceDifference between Stored procedures and function
121,What is the difference between Soap and Restful Webservices
122,What are the protocols in Restful Webservices
123,What are annotations used in Restful Webservice
124,How to test Restful Webservices 
125,What tool you have used
126,What are the design pattern you have use
127,How to deploy a server
128,How to perform testing on server
129,How to perform testing on development level in java
130,What are the steps involved in performing Unit testing
131,What reporting tools you have used
132,What are the three main features of Angular JSHave you used filters in Angular 
133,What is the difference between Soap and Restful Webservices
134,What are the protocols in Restful Webservices
135,What are annotations used in Restful Webservice
136,How to test Restful Webservices 
137,What tool you have used
138,What are the design pattern you have use
139,How to deploy a server
140,How to perform testing on server
141,How to perform testing on development level in java
142,What are the steps involved in performing Unit testing
143,What reporting tools you have used
144,What are the three main features of Angular JSHave you used filters in Angular 
145,What is the difference between Soap and Restful Webservices
146,What are the protocols in Restful Webservices
147,What are annotations used in Restful Webservice
148,How to test Restful Webservices 
149,What tool you have used
150,What are the design pattern you have use
151,How to deploy a server
152,How to perform testing on server
153,How to perform testing on development level in java
154,What are the steps involved in performing Unit testing
155,What reporting tools you have used
156,What are the three main features of Angular JSHave you used filters in Angular 
157,Which HTTP method is nonidempotent
158,Why do we have servlet listener
159,How to handle exceptions thrown by application with another servlet
160,What is exception and errorName few Checked and unchecked exceptio
161,How to create threads
162,How jvm manages memore
163,How do we go with database connection and log4j integration in servlet
164,How to get the IP address of client in servlet
165,What are important features of List and arraylist stack vect
166,What is main method in Java
167,How to sort ArrayList in java 
168,What is difference between wait and sleep in JavaDifference between List and Set in Java
169,What is dependency InjectionAre Spring singleton beans are threadsafe 
170,What is AO
171,How Advices works
172,What is Spring Security
173,What is view Resolver pattern Explain Spring MVC flow with a simple examp
174,Difference between ngbind and ngmodelName of first controller in Spring MVC
175,How to implement inheritance in javascriptoutput of 123
176,what is isolation of scope in angular
177,what are providers in angularDo we need to make restful web services as threadsafe if there are multiple threads trying to access itDifference between execut
178,problems and challenges in the project
179,Explain angular MVC
180,How to switch database configuration files in hibernat
181, In which part of MVC it comes under
182,IF you write snippets in jsp will it not be decoupling of codeTypes of calls in angular
183,How do you validate without submitting the pageDifference bw type of calls in angula
184,Did you work as senior java developer and can you guide people under you in project
185,Difference between Angular JS and Jquery
186,What is OOP
187,How to create custom exceptio
188,What is use of autowired annotationType of spring annotationDifference between checked and unchecked exception
189,What is Multiple inheritance
190,What is Scurm and agile methodogy
191,What are wrapper classe
192,Difference between stored procedure and function
193,What is cursor and inde
194,How to do normalization
195,What are concepts of OOPS
196,What is difference between rest  SoapDifference between set and list
197,What is Hashmap HashSet HashTable
198,What is threading an
199,how thread communicate
200,How to resolve dead lock
201,What is Date and time api
202,What is ENU
203,How many type of configuaration in spring
204,What is context annotation confi
205,what is Bean annotat
206,gt 
207,What is the Difference between Hashmap and Hashtable gt 
208,What is Serialization  and 
209,why do we use an
210,how to code it gt 
211,What is encapsulation and abstraction gt 
212,What is checkin and checkout in svng
213,what are the different application sever you have worked so fargt
214,How do you deploy project on application server gt The difference between Jar  War  Ear gt 
215,What are the different types of EJB beansgt When to use Session Beans and Entity Beans gt 
216,Why do we use AngularJs gt
217,What is ngapp directive gt
218,How does AngularJs integrateconnect with html gt 
219,What is Model Viewgt
220,What is data binding in Angular 
221,why we use itgtDifference between service and factory in angulargt Have you created Stored Proceduresgt
222,What are Views gt 
223,What is the purposeadvantages of using views gt 
224,What are indexing used for gt Clustered and non clustered indexgtgt 
225,What is Spring  
226,Why do we use Springgt
227,What is BeanFactorygt 
228,What is the difference between BeanFactory and ApplicationContext gt 
229,What kinds of Dependency injection are there gt 
230,What is the process of using Dependency Injection and then of using Setter Injection Codinggt 
231,What is the difference between injecting by Name or by Type gt Describe the MVC Architecturegt 
232,What is AOP gt
233,what is the difference between joinpoint and pointcuts gt 
234,What is an Advice and its types gt 
235,What are Web Services and 
236,why do we use them gt
237,What are the types of Web Services gt 
238,What is the difference between SOAP and RESTFUL g
239,How do we decide when to use SOAP and RESTFUL gt 
240,What are some of the TECHNICAL challenges you faced in your developer caree
241,1 
242,What is HQL 2 In your hibernate application
243,how do you verify the data after making a request 3 
244,What does the method beginTransaction do 4 Let say your Project Manager tell you that your database requests are consume a lot of memory you need to do something to improve the performan
245, 
246,How would you do it in hibernate 5 
247,How is the bridging established between your hibernate application and your database 6 
248,What is SessionFactory 7 
249,What are the different types of webservices8 
250,What are the differences between SOAP and Restful WebServices 9 Can we send SOAP messages in a JSON format 10
251,How do you implement method overloading in your Webservices 11  
252,How do you test your WebServices 12 
253,How do you deploy your Webservices 13 In Exception Handling can we use try without catch If no 
254,why if ye
255,how 14 If I have a try block associated with 3 catch blocks  finally bloc
256, If the first catch block catches an exception will the two other catch and finally be executed15 
257,Why finally block is always executed 16 
258,Why multiple inheritance is not allowed in java17
259,What is overloading and overriding18 
260,What are the different types of join in oracle 
261,what are their differences 19
262,How do you improve performance in your request
263,What are the core classes in hibernat
264,Explain the spring MVC architecture
265,What are some commonly used spring MVC annotation
266,Types of controller classes in spring
267,Have you participated in code reviews 
268,what did you do 
269,what are best practice
270,Explain Spring MVC
271,How can you return a String in a controller Answer use ResponseBody annotationExplain an example when you used Hibernate to set user roles Answer One table to hold users one table to hold user roles the user roles table had a foreign key pointing to the primary key in the Users tabl
272, Explain more in detail using Hibernate to set user roles and the relationships they had Answer Inside the User class you had a Hashset storing User Roles with a One To Many Relationship annotating the set User roles method
273, Inside the UserRoles class you have a reference to the user as well as ManyToOne annotation on the set User method
274, For more information on 
275,how to answer this question please see this link and take a look at the model classeshttpww
276,What is a directive 
277,What do you do in a directive in AngularJS Answer DOM manipulation is done in directive  for more information read Angular documentation on directives it is very well written and easy to understan
278,Explain 
279,how to use and consume various SOAP and RESTful web services know the tags inside a WSDL fil
280, Tags are porttype type binding and message
281,What is a directive in AngularJS Marker on DOM element read documentation on directives for more inf
282,How do you access database in AngularJS Use service with http
283,What is a memory leak in java It is when an object is not in use any longer but not picked up by the garbage collect
284, 
285,What will happen when user hits the homebrowser
286, MVC architecture Various modules of spring4
287, 
288,What Framework did you use for webservicesindirect way he asked1
289,what method did you use in http1
290, 
291,how http request worksSomething like that asked indirectl
292,Explain the architecture of your last project
293,How do you apply synchronization in java Synchronized block or method
294,What is dependency injection
295,What are the different scopes in spring which one is default Singleton Prototype Session Application  Singleton is default
296,What are the 7 modules of springWhere can you apply and advi
297,What is significance of string pool
298,How u create iteg 
299,what is hash code and can we give one hashcode for 2 objec
300,how u used rest n soap web services in prjct he asked something about arraylist to write one line of cod
301,dont remember 
302,what was the question 
303,what u used to implement soap web service
304,Dependency injection 
305,How it is achieved in Angular js
306,x and Angular 27
307, Candidate with eng skills in HBase Java Python and knows 
308,how to query applications and systems for log
309,Why do we autowire the interface amp not the implemented class
310, Different annotations in spring MVC
311,PythonDescriptionCandidates must be proficient in Django Oracle database and have strong experience developing in a Linux environment
312, Tell me about your project
313,4 Is string a primitive datatype5
314,can the main method be private9
315,can we access a private member of one class in different class if they are in same package10
316, can we declare two method with same name11
317,what happens if the method throws an exception that was not specified in method declaration1
318,can we have static method in an interface13
319, 
320,what are immutable classes in java1
321,Exception handling with method overloading21
322, Hibernate core java pl sql
323, Different types of Dependency Injection which one did you use Write a code for that
324, JPA 
325,how did you use hibernate in your projec
326, write a sample code
327, 
328,what is overloading and overridingwrite a cod
329, write a update query in PLSQL code
330, 
331,what is group by can you use two columns to group by write a cod
332, can we do method overloading from the same class 
333,what is the use of method overloading
334,write a code for inheritance10
335,what is aggregationBasically was asked to write a code for all the question
336,PythonConvert this list of strings into an sequence of type numbers  123
337,34Filter Reduce MapDatabase Migrations in DjangoList vs TupleImmutable vs mutable data type
338,How to integrate AW
339,what angularJS
340,What is promis
341,what is ngBind anf ngmodel
342,what are object in javascript
343,What is prototyp
344,what is closur
345,how to over ride equal method
346, 
347,what is the best approach to write a multiple records from excel sheet in to the databas
348, hashcode and equals methos13
349, write a code to iterate though the hashset
350, 
351,how to debug a servic
352,Tell about yourselfArchitecture of project
353,How did you create UI layer for project
354,what is two way binding and onebinding an
355,how do you achieve in angularJSFlow of data from backend to front end in angular2
356,How did you test you angular application
357,what is SPA in Angula
358,1 
359,What are Promises in AngularJS2 Where did you use promises3 Dependency Injection in AngularJS4Explain Digest Cycle5Scope in angularJS
360,How to share data between controllers in AngularJS6rootScope scope8broadcastemiton9ngif ng
361,how10routin
362,1 
363,How did you handle performance problems in your project2write a code for the function which returns numbers between 1 to 100 not divisible by 53
364,What are Restfulwebservices Annotations used etc4Design patterns used5Where did you use singleton design patte
365, tell the code6Diff ways of DI in spring 
366,what is the best way7promises in angularjs8form control vs ngmodel
367,How do you debug when a button of a form doesnt submit10debugging tools used in angularjs1
368,how to create immutable class in java 12abstract class vs interface13Java 8 new faetures14when is multi threading not a good idea15race condition in multithreading16synchronization in multithreading17have you used trylock18
369,what happens if two different keys have same hashcode19restController vscontroller2
370,how to improve performance of query in oracl
371,Tell me about you project
372,What is shadow DOM in angular 
373,How child component communicate with parent component
374,How to provide routing in Angular 2
375,what is childvie
376,How to deploy you angular 2 App
377,what is lazyloading Difference between Promise and ObservableVarious binding in Angular Expla
378,Tell me about your projectAsk about technology stack used for previous projects
379,what is first thing that you do if respond time for application is more in J2EE
380,How did you consume rest web servic
381, 
382,what did you do in your last projec
383, Did you work on JMS Jquery and JSP Servlet4
384, Web services SOAP or REST5
385, 
386,How to you call a restfull web services
387, 
388,How will you transfer data through a restfull web services
389, Spring MVC life cycle
390, Database experience in Plsql19
391, Did you participate in code review26
392, Did you participate in creating user stories30
393, 
394,How would you approach a user stories3
395, Who gave you user stories33
396, Did you review others code34
397, 
398,how did you test your code if there is no front end3
399, Did you do testing on your code40
400,How u implement serialization
401,What are the methods inside serializableinterface we need to overrideit dosent have any methodsexternalizationsynchronizationif I want share data between two threads to bethread safe and not use synchronizationbecause of performance issuehash ma
402,how internal work itgenericsbounded and unbounded wildcards differentcan I access non static variable from staticcontextcallable interface runable best way to impl thread 
403,how many options we havedifferent betw set listsort list in order by salary etccompare and comparablemodels in spring u usescope in spring beansone class two beandifr id definition 
404,how manyobj createddiffr singleton java and springInjecting prototype bean insingleton bean in SpringImportant components I spring JDBCWhere u use AOPConstructor and setter injection 
405,How u do integration hibernate in springHibernate dialectSecurityfor web services
406,how u implement itAdvantages of web servicesWitch u recommend to use and 
407,wh
408,What is platform independentYour front end technologies
409,What is one way and two way bindingData flowsfrom the scopecontroller to the view
410,What is default bindin
411,How we do one way bindingDiff betw scope and root scopeDiff betwservices and factoryTell me some directives
412,What services u use in your app
413,What db u useDate functions in dbDiff union union allUNIONremovesduplicate recordsI have a table I want to del duplicate data exof querySystem give u a lot of data it go very fast uhave to process the data and insert in one dbvery big data make it fast androbustRemove duplicate from stringDesign patterns which u useDiff betw factory and abstract patternfactorymethod is a single method and an abstract factory is an obj
414,1Introduce yourself2Explain about your project3Explain the module you have been working4
415,How big was your dat
416, 
417,How many records did youreceive5Where you directly involved with the clients6Have you faced any performance issues in yourproject 
418,What was it
419,How big was your team On 
420,what modules did eachof them work on8
421,What was the database you used9
422,What are triggers1  
423,What are indexes in database1 
424,What is difference between angular js andangular 212 Drawbacks of angular 213Autowired annotation usage14 Features of java 815 Design patterns used in your project16 
425,What is agile methodol
426,1Talk about the recent projects you worked on and on therecent technologies2
427,what kind of design patterns did u use3
428,how have u used DAO pattern in your project 
429,How does itwork4
430,what is Dependency injection
431,How did u use dependencyinjection in your project5
432,what are some ways you can achieve dependency injection6 
433,What is Factory design pattern7We have class A and Cla
434, we need to inject an instanceof class b into class A
435,10 
436,What all scopes have u used in your project11Where do you use prototype scope1
437,what are restful web services 
438,What are the dataoperations you performed using Rest13
439,What is the difference between POST AND PUT methods14Difference between Angular js And angular 215We have an angular component and a servic
440,how do youinject a service to an angular component16Talk about hibernate 
441,How do you use it Where do you use17
442,How do you the mapping in hibernate 18Other than the xml file
443,how do you do the mapping19Lazy Loading20We have a customer table and a contact tabl
444,o 
445,Whatis the difference between default and static methodso Caninterfaces have private methods 
446,Whyo
447,Whatis valid annotation used for o Explaindefault access modifiero Differencebetween StringBuilder and StringBuffero 
448,Whatmocking framework did you use o 
449,Whatis the difference between process and thread
450,What is future annotatio
451,What are webservices 
452,What is rest
453,What is the difference between applicationserver and web serverDifference between interface and abstract classGive practical example
454,What is a stored procedur
455,How did you authenticate your applicatio
456, Didyou use any SSl
457,What are micro servicesDifference between angular js and angular 
458,ØCan you talk about the company with which yourecently worked withØ
459,What is normalizationØWhich methodology did you work in Explain it is a free and open source static code analysis tool used insoftware development for checking whether Java code conforms to the codingconventions you have establishe
460,is a static code analysis tool that iscapable to automatically detect a wide range of potential bugs and unsafe ornonoptimized code
461,is an open sourceJava code quality tool similar in some ways to Checkstyle and PMD but with aquite different focus
462,In fact it concentrates on detecting potentialbugs and performance issues and does a very good job of detecting a variety ofmany types of common hardtofind coding mistakes including threadsynchronization problems null pointer dereferences infinite recursive loopsmisuse of API methods etc
463, FindBugs operates on Java bytecode rather thansource code
464,1Talk about the recent projects you worked on and on therecent technologies2
465,what kind of design patterns did u use3
466,how have u used DAO pattern in your project 
467,How does itwork4
468,what is Dependency injection
469,How did u use dependencyinjection in your project5
470,what are some ways you can achieve dependency injection6 
471,What is Factory design pattern7We have class A and Cla
472, we need to inject an instanceof class b into class A
473,10 
474,What all scopes have u used in your project11Where do you use prototype scope1
475,what are restful web services 
476,What are the dataoperations you performed using Rest13
477,What is the difference between POST AND PUT methods14Difference between Angular js And angular 215We have an angular component and a servic
478,how do youinject a service to an angular component16Talk about hibernate 
479,How do you use it Where do you use17
480,How do you the mapping in hibernate 18Other than the xml file
481,how do you do the mapping19Lazy Loading20We have a customer table and a contact tabl
482,Explain me about the project
483, 
484,What are your rolesDid you make any modifications in your DAO clas
485,What are the differences between AngularJS and angular2 and angular 
486,Configuration of RESTful web services
487,Tell me about your project
488,What are your roles
489,what did u do in your project
490,What are Generics with Example where did u use th
491,What are collectionsAbout Maps custom and inbuilt method
492,How to find unique keys in mapsIs it the same method for other collections franeworks also
493,How to make a singeleton Map
494,What are immutable class
495,Write code for immutable classes
496,How to send data from properties file to a classSpring MVC
497,How to configure spring beans
498,What is hibernat
499,How to map an Employee class with the data
500,How to generate emp id in emp class using hibernateDo u do it in your class or in oracle
501,How to manage transactions in hibernateYou have a record in database and 
502,what will u use to update thatrecord using hibernateHoe to save a new record using Hibernat
503,How to send user credentials in angularjsWrite code for i
504,Your daily roles and activities in project
505,What are the exceptions you encounteredDid u handle them or you left the
506,How did u handleSome other question on exception which I dontrememberDid u use any collectionsGave some scenarios and asked which collectionto useGave a scenario and asked
507,how to compare them
508,What is static keyword
509,how many ways it can beusedHave you runout of memory any time 
510,how did uhandle i
511,How do u sort a list with employees based onsalary salarygt5000Bean scopes
512,What are standalone scopes and web bean scopesSpring MVCAutowiring and gave a scenario and asked aboutAutowiring in 
513,What all annotations did u use in SpringSome question about interfaces and beans dontrememberDid you use any database frameworks
514,What are different isolations in Hibernate Idont knowScenario  you have employees and departmen
515,what hibernate mapping you will useI dont want to get all the employees on thatparticular department
516,how to do it
517,What are stored proceduresSyntax of it
518,What are triggers
519,What are cursorsRestController vs ControllerDo you use any packages for stored procedures
520,What did you do in Angular JS in recent projectWhen consuming a service instead of get Im doingit using Po
521,How to call a rest api in angularSyntax explain
522,How do you send a json object in a request
523,What are EC2 instanc
524,0ptfontfamilyCalibrisansserifmsoasciifontfamilyCalibrimsoasciithemefontminorlatinmsohansifontfamilyCalibrimsohansithemefontminorlatinmsobidifontfamilyKartikamsobidithemefontminorbidimsofareastlanguageENUS2Tell about the technologies used 4Is pass by reference possible in java6
525,What does synchronous keyword mean 
526,Why do weuse it
527,What is deadlock10
528,What is TreeMap12
529,Why will u use an abstract class1
530,What are different scopes in spring16I have a parent class of prototype scope and achild class of singleton scop
531, I try to instantiate the parent class 3 times
532,How many instances of child gets created18Difference between sockets and servlets20Difference between spy and mock22
533,How do u write a junit test clas
534,0ptfontfamilyCalibrisansserifmsoasciifontfamilyCalibrimsoasciithemefontminorlatinmsohansifontfamilyCalibrimsohansithemefontminorlatinmsobidifontfamilyKartikamsobidithemefontminorbidimsofareastlanguageENUS
535,How garbage collection is done in java Can thedeveloper explicitly do garbage collection in their application
536,What is authorization and authentication
537,HowcanString abcnew StringjsString abchello
538,What is the diferrence between the twowhich is efficienttable A contains id and empname table bcontains id  time in time out dateWhich join do you use
539,What is reflection in javaCan we do static initialization in propertiesfil
540,what is serialization 
541,Why do we need tha
542,Howdo you implementI dont need to use hibernate in my applicatio
543,how to connect to the database in spring
544,What is dependency injection Which DI did u usein your project
545,What is RESt web servic
546,Tell us about your project
547,How do you configure rest web service
548,Walk me through your project
549,What are the design patterns you usedFactory patter
550, 
551,How did u use itDo you know about Abstract factory patternFactory pattern and Abstract factory patterndifferenceSingleton pattern
552,How do you design a Singleton classWrite code for singleton classWrite code  integer array print out theduplicate elements
553,What is serializatio
554,How do you do it
555,What is externalizationMVC patte
556,  
557,How do you handle any defect raised by Businessusers  You will encounter cross domain issues since youhad two different server
558,1 
559,What are the code quality and performance toolsuse
560,Round 1  Wiprotell me about project and frameworks used
561,which build tool you used
562,how do you add external dependencies to mavenlife cycle of mavensomething about maven I dont rememberdid u use ANTtell me about oops conceptsrun time and compile time polymorphismabstract classes and interfacesfeatures of java 7about exceptions on java 7collections hierarchycollections classmethods in collection classRound 2 State StreetAbout ProjectYou have your application application modules deployed on different server
563,Explain the architecture of the project you worked in Harley Davidson
564,difference betwen app server and web serveris Tomcat app server or web server
565,Why use tomcat over weblogicTell me about the project at trisyn
566,Tell me about your project
567,Explain about the collections framework
568,how does hash map work internally
569,how do you make a class as a key in hash mapinitial capacity of hash mapload factor in hash mapcollision in hash map
570,what are stored procedures and trigge
571,joins in SQL
572,what is spring boo
573,Spring with restdifference between get and post methods
574,what are templates in angular jsservices in angular jsfactory service and providers in angula
575,how do you build angular application
576,how do you send images in RESTgave a scenario and asked about unit testin
577,why use lambda expressionsdefault methods in interface
578,explain about you project
579, But order details is a separate class
580,difference between angularjs and angular2
581,how to parent and child controllers communicate in angular jsvalidation in angular jsngprestinejoins in sqldependency injection in sprin
582,explain about your project
583,how do you improve the performance of sql querie
584,indexing query
585,restful web services
586,Explain about your project
587,All the 4 projects
588,What would be your approach in dealing with new project
589,Are you familiar with Agile methodology
590,difference between interfaces and abstract classes
591,explain about project
592,what is spring MV
593,How do you improve the performance of SQ
594,Joins in SQL  some scenario and query for that
595,HQL vs SQLtesting frameworks used
596,Restful web services
597,I have a spring bean with A with scope as singleton and bean B with scope prototype
598, 
599,How do you inject the prototype bean into the singleton bea
600,How does the lookup method injection work internall
601,what is Spring MV
602,How do you define a singleton clas
603,0ptfontfamilyCalibrisansserifmsoasciifontfamilyCalibrimsoasciithemefontminorlatinmsohansifontfamilyCalibrimsohansithemefontminorlatinmsobidifontfamilyKartikamsobidithemefontminorbidimsofareastlanguageENUSØHave You used JPA with hibernateØ
604,How can we handle the transactions in hibernateØ
605,What is isolation and propagation Where can weuse itØ
606,What are the modules in spring Ø
607,What are the other design patternsØ
608,What is the use of hash code and equals methodØIf I have 2 diff keys and equals is sa
609, 
610,How dou retrieve objects thenØ
611,What is immutable
612,How do we achieve itØ
613,What is the use of final keywordØ
614,What is serialization 
615,What is deserializationDDifference between arraylist and linkedlistWhich should be usedLinkedlist can be used for addupdate operations and arraylist can be used for searching 
616,How do u write a simple java pgm that will throwan out of memory errorØHave u faced any out of memory errorØ
617,How to write an optimized quer
618,How did u provide security in ur restwebserviceDiff between treemap and hashmap
619,How do u we create a treemap withdescending order
620,How do u sort the keys in hashma
621, 
622,What happen
623,How do u compare whether 2 objects areequal or not
624,What configuration u do in spring for astatic metho
625,How do we create objects in spring
626,How does ur application knows that it isusing annotationsDiff dependency injectionsU have a employee table 1 with emp id and empnameand another table with empid and dependent nam
627,Tell me about yourselfCan you talk about the company withwhich you recently worked with
628,What is XSLT
629,What is normalization
630,Whattechnology stacks did you use in your applicationWhich methodology did you work inExplain it
631,What is code quality 
632,What tools didyou use to maintain code quality in your projectDifference between node js and expressj
633,How do you remove duplication ofelements in a list
634,What is AO
635,How did you do logs in yourapplication
636,How did you do exception handling inyour applicationDifference between hibernate and JPA
637,What is the difference between angularjs and angular 2
638,What is postman
639,What is sublime
640,What is the difference between javaand c
641,What is inheritance Does java supportmultiple inheritance
642,What is mongodb Which one will you suggestmongodb or oracle and 
643,whyDifference between list and se
644,What is p
645,Asked about the 3rdand 4th projects
646,What was the day to dayactivities in your projects
647,What was ur first task given toyou by the team from my 4th project
648,What is CSS U have 2 UI I wasusing same style sheet for bot
649,How did ur front end communicate with the backend
650,What are restful web servicesDid u have user sessions in theapplicati
651, 
652,How did u manage the session  
653,what kind of session
654,How and when does the httpsession gets created in theserver
655,What application server did u useDifference between applicationand web server
656,Why do u have to use spring
657,Whatmakes spring faster
658,What is dependency injectionAsked for the 3rdproject  explain about the company
659,What are the different scopes ofbeansWhen do u use a singleton scopeGive a real time scenario to use singleton scope
660,What is prototype scope and wheredo u use itscenari
661,How do u read the properties filein spring Specify the xml tag
662,What is json
663,How do u passvalues inside jsonCan u json to transfer an imagefile
664,How did u populate json in rest 
665,What is log4jI have a fi
666, I have to read thefile and write it into the server to be more specific 
667,how to read the file and upload that file inthe server
668,What is stream 
669,What isserializable 
670,what happens if we are not implementing serializable
671,What is encapsulation  
672,What is multiple inheritance andmultilevel inheritanceCan we do multiple inheritanceWhen will u create an interface
673,Why do u need to create interfac
674,What is jpa 
675,What is AOP
676,What is spring bootCan u tell about the maven 
677,Whydo u want to use maven  where does maven come fro
678,What is trigger
679,What is the difference betweenhashmap and hashtable Which is thread safe and which is not 
680,what is threadsafeIn map the methods get and putWhich is synchronous in that
681,what is generics 
682,What is the useof 
683,how do u iterate a collection
684,How do create an iterator objectIn threads u have an object 
685,whathappens when u try to modify the same object with two threads 
686,What exceptionwill we getWe have 10 tables in hiber
687,What isoptional in java
688,What allmethods can we have in interface
689,Can we havedefault and static methods in interfaces
690,What is thedifference between default and static methods
691,What isfunctional interface Can a functional interface have more than one methodCan interfaceshave private methods 
692,Wh
693,What is beanvalidation
694,What is validannotation used forDifferencebetween method overloading and overridingExplaindefault access modifierDifferencebetween final variable and implicit final variableDifferencebetween StringBuilder and StringBuffer
695,What is threadlock
696,What mockingframework did you use 
697,What is thedifference between process and thread
698,What isfuture annotatio
699,Give a brief description aboutyour experienceWhich module did u work and 
700,whattechnologies did u useWhich java version did u work onTo connect to the db did u usejdbc templateBenefits of hibernate
701,What are the annotations u usedin hiberna
702,How many types of mapping areallowed in hibernateA Scenario I have a process anda list of subprocesses in the db I need an api that gives a process and itssubprocess
703, 
704,how can u design the hibernate class to get the information whichmapping u would useDiff between arraylist andlinkedlist
705,How can u create an immutableobject
706,What is the purpose of making aclass immutableExample of immutable class
707,What is the difference betweenput and post
708,What is autowired annotation isused forTo inject a service class intoone of ur controller which annotation isused in the service class
709,What is a component annotation orservice annotationWhich annotation is used to makea class as injectable in springU have a base class and in ur base class u arethrowing nullpointer exception and a subclass and u have overridden the met
710,In the over ridden method u are throwing the generic exception
711, Does the compiler throw any errorIn angular2 
712,how do u create aserviceHave u used angular CLI Withoutusing the CLI 
713,how did u create the components in angular 2
714,What is the purpose of componentsin angular 2
715,What is the purpose ofpacka
716,jsonIf I asked u to build aapplication 
717,how do you structure the application example I need user detailsand user transaction 
718,how do u design urfront end application
719,How do u navigate from user pageto transaction page
720,How do u do routingWhile navigating I want tobookmark a pa
721,there are 2 pages userpage and transaction
722, I want the url of userpageand transaction page
723,What did u do to style urapplicatio
