,0
87,Whats the difference between json and partial view I know thats a weird question but it happened
88,What can ajax calls returnC
89,Whats an action Not MVC actionAngularJ
90,How did you handle exceptions
91,How did you interact with the databaseExplain the apply lifecycle
92,How did you use digest
93,Whats the difference between custom and value typ
94,Vendor questionsc1difference between string and string builder2difference between clone and copy3 private  protected and protected internal4 can a private class be inheritedsql interview questions1local table and global temp table2 TransactionsThen he said i think you know stuffs so he stopped and sent me face to face interview request to Windsor
95, The ones I rememberDifference between String and StringBuilderString is immutable which means that every time you assign a new value to a String object the system has to create an entirely new string
96, StringBuilder is a class designed to circumvent this problem
97,Difference between chr and asc I assumed it is a SQL questionCHR or CHAR is a character data type single character while ASC is Ascending used in ordering SQL queries
98, I may have misunderstood the question it came after several SQL related questions
99,How do you link a stylesheet into a webpageltlink href
100,whatever relstylesheetgtDifference between to and to xIm not sure if I understood the interviewer proper
101,What is SSIS and
102,what is it used forSSIS stands for SQL Server Integration Service
103, It is used for hosting and configuring Web Applications on a home server
104,Does Angular use AJAX under the hoodFor the http service Angular uses AJAX
105,What is AJAXAjax is a clientside script that communicates to and from a serverdatabase without needing a postback or page refres
106,What are the downsides to using stored proceduresModification of a stored procedure from its norm requires writing a new procedure or writing a unique quer
107, SQL Server will optimize stored procedures when they are used frequently as well leading to an increase in performance
108,NET MVC Fullstack or partstackASP
109,NET MVC is fullstack which is the idea of having everything you need for a web application in one framework
110, A partstack framework requires an accompanying framework to handle the other sections of the application
111, For example AngularJS being only frontend is partstack
112,What are the default number of columns in a Bootstrap application1
113,Why do you care about the columns in a Bootstrap applicationBootstrap columns are used to format an applications display based on the size of the scree
114,When connecting to a database via LINQ is the data queried immediatelyNo
115,What are AngularJS FiltersAngularJS Filters are customization options that can be set on dataset
116, The filter can simply be a link to a variable field or a function that performs some truefalse result operation
117,What is scopescope is a connection between the view and controller in Angula
118, It is used with Angular expressions to s
119,how data in the vie
120,What are await and asyncUsed in multithreading a function defined as async is allowed to run outside and independently of the main application threa
121, When await is used within one of these functions it has the async function wait for a period of time
122,IQueryable vs IEnumerable 
123,Whats the differences Which executes queries immediatelyIQueryable is an extension of IEnumerable that is built specifically to deal with SQL querie
124, IEnumerable executes queries immediately as it does not make use of SQL features
125,How do you handle events in AngularJSYou use the
126,on function
127,onclick function
128,How do you handle an outside domain connectionNot sure did not answer this questio
129, For example in a function within an object the this keyword refers to the object that owns the function
130,How do you check that your Session is valid when conversing between multiple databasesNo ide
131,NETA directive is an HTML helper that is used to provide some sort of function within a page
132,Difference between a table and a viewA table is a set of data within your database
133, A view is a set of data combined from multiple tables or just a single table
134, It does not have to contain all of the data within the tables selected
135,Difference between a stored procedure and a functionA function must return a value while a stored procedure does not have to one of the many differences
136, When the connection is closed or dropped the temporary variable is destroyed
137,Do you use a temp table or a temp variable Which is betterIt depends on the scenario
138, For example in a function you must use a temp table variable
139,JavaScriptvar k  1if 1   evalfunction foo  k  typeof foo
140,What would be the value of 
141,multiplication23  6multiplication234  24
142,How would you write the above functions as a single functionvar x  1var output  function  delete x  return x Output of 
143,How is AngularJS different from other JavaScript functions
144,How do you create a service in AngularJS
145,What is routing in AngularJ
146,How would you communicate between controllers in AngularJS
147,How do you manage cookies in AngularJS
148,What is a broadcast in AngularJS
149,Whats the difference between scope and scopeOther
150,What is MV
151,How did you implement browser compatibility
152,Whats the difference between HTML5 and HTML
153,Whats the difference between CSS3 and CSSJavaScriptvar k  1if 1   evalfunction foo  k  typeof foo
154,What would be the value of
155,multiplication23  6multiplication234  24
156,How would you write the above functions as a single functionvar x  1var output  function  delete x  return x Output of 
157,What kind of testing have don
158,How did you implement automated testing
159,What kind of tools did use for testin
160,How did you do unit testing 
161,What tools did you use
162,What kind of tools did use for improving performanceIf theres an application for data entry and the data enterers thats not a word but
163,whatever can only enter 3 pages of data every ten minutes compared to the 10 pages they can enter every ten minutes in another applicatio
164,how would you improve the performance of the application
165,Whats the difference between Web API and WC
166,How do you version services
167,What is a dependency injection 
168,What are the benefits of dependency injections
169,How do they make testing easier
170,What are the benefits of AngularJ
171,How did you do mocki
172,Where to use Interfaces and Abstract classesUse of using statement in c
173,What is Cache and types of cachestate management technique
174,What are partial classe
175,How to you analyze the performance of an application which tools
176,what is reflectionWhere did you use AJAX call Can we have two AJAX calls on same page
177,Why WCF
178,why not web servicesDifference between REST and SO
179,How to increase the performance of the WCF serviceDifference between local temp and global temp table
180,What is sql profilerCan we have two webconfigs in one file
181,What is fault contrac
182,How do you improve a query performaceThere were some questions about my profile and the projects i had don
183,what is fiddler
184,what is Lazy loadingNunit
185,What is W
186,how to write wcfuse of wcfmsmqEntity frameworkdisadvantage of entity framewor
187,asax functions4
188, Create function that takes input I Like Cats and return output Cats Like I
189,What is AngularJS Routing
190,What is WC
191,How do we create a manual proxy in WCF
192,What methods are used for AJAX to send request for connecting server side1
193,Action Filters in MVC
194,AngularJs and Web API Questionsfor 
195,what purpose you have created Web API
196,how to store dataJSON Data that Web API is returning to the databas
197,Have you used Web API or microsoft APIWere you involved in developing Web API SQL Server database in your projectHave you used custom Directives in Angular 
198,HowFor EF have you used Database first approach or Code First approach
199,What kind of directives we have in BootstrapFrontendHave you used internal CSS or framework for implementing C
200,Interview questions on SQL and Object Oriented
201,What is constraint
202,What is Referential Integrityjoins in SQLOnetoMany relationship in SQLTransactionWhere we are writing Rollback statement in transactionI have multiple queries in Transaction so is it good idea to write everything in one transaction or maintain one transaction for eac
203,What is interface and Abstract class
204,What are the things that we can write in interface and abstract classLike methods properties etc
205,What is acronym SOLID in object orientedDesign PatternsFactory Singleton etcCan we instantiate interface and abstract clas
206,How many interfaces we can implement using single classIs there any limit
207,How many abstract class we can inherit using single classvalue type and reference type in O
208,What is application settings in mv
209,what are 3 layers in 
210,how to you provide security in webservice
211,how many records you have in your sql server tabl
212,What is application settings in mv
213,what are 3 layers in 
214,how to you provide security in webservice
215,how many records you have in your sql server tabl
216,diff btwn interface and class3
217, query performance in sql4
218,application balancing6
219,WCF and Webservices diff8
220,NET  C and SQLdiff between machine config and web config
221,without transactiondiff between thread and processIs thread is a process
222,what is command in AD
223,NETdiff between data adapter and data readerIf I have the bunch of data in dataset and i want to store it in tablewhole data together then 
224,what method i should us
225,How I will read data from dataset without using loop
226,what is auto post ba
227,how to stop controls involving in Auto post back
228,how to stop client side validatio
229,related to API and SQL
230,What is RESTful
231,What are the verbs used in REST APIUnit testin
232,How have you implemented Unit testingSQL Server PerformanceQuery optimizationApplication performanc
233,NET C jQuery and SQL Server questionscoded on white boardSyntax to inherit one class and implement two interfaces
234,If i have one class which is implementing two interfaces and both interfaces have exact same methods then 
235,how will i get to know that this method is from particular interfacejQuery validationIf I have two textboxes having same name in different user controls
236, UC1 and UC2 then 
237,what will be the id of textbox after running the APPQuery optimization in SQL Serve
238,How to improve performance of your applicatio
239,they give two tables table 1users ordganisation_IDOrder_id
240,                   table 2order_id order description and had primary key relation with order_idWrite query to display all the records
241,write a query to get count of users based on organization
242,Linq query syntaxhad static variable and want to use in both pages
243,NET  CAny problems faced during projects and 
244,how did you solve them
245,What is a masterpag
246,what is an error pa
247,What is Constructor
248,What is Destructor
249,What is namespace
250,How it is used
251,What is GAC
252,What are the types of errors
253,What is Page directive 
254,What it does
255,What is State Management
256,What is PostBac
257,how to store data while posting back
258,What is Code Behind
259,What is AutoEventWireup
260,What are the techniques used for transferring data from one page to another page
261,What is Cross Join
262,What is Inner JoinLeft JoinRight Join
263,What is Method Overloading
264,What is dl
265,How to handle multiple dlls
266,How to loop through the controls on webpage
267,What is ViewState
268,What is HTTP
269,What is 
270,Why angularjs
271,why not jqueryjavascrip
272, You have 2 pages and 2 diff controllers
273, you need to pass data from one page to another
274,how will you do tha
275,how does one mock http config
276,explain 
277,how will you mock your html pages and your viewsWeb api
278,life cycle of web api
279,what is the advantage of using web api framework have you used any other dotnet framework with web ap
280,web api security4
281,web api exception handling5
282,diff btwn http post and http delete6
283,MVC1
284,Why MVC
285,why not another framework
286,difference between abstract class and interfacewhere have you used linq in your project 
287,what is the advantage of itdisadvantage of using entity framewor
288,diff between wcf rest and restful API
289,what is restful web api
290,why have you used restful web api and wheresecurity in w
291, 
292,what are the types of it
293,what is view state where it is stored
294,what is page directive
295,why have you used stored procedure in sql serverpage life cycle of a
296,Focusing on MVC WCF Web API and SQL server mainly
297,what is inheritancepolymorphismMVC routingSOA architectur
298,how have you implemented wcf service in your projectdiff between web service and wcf
299,why SPA in angula
300,how have you implemented SPAdependency injectionNunit testingsource code version controladvantage of stored procedure
301,why have you written stored procedure instead of writing everything in your codeTFS Agile methodologiesdisadvantage of jQuerysecurity in wcfhave you ever given any architecture design before working on any functionalityhave you ever created any documentatio
302,what is SSIS and SSRSasking more about 
303,what have you done in project and
304,how
305,what is route attribute in mvcsession management in mvc
306,what will you do if your client will complain you that your application is running sl
307, Project role description2
308, MVC Architecture3
309, 
310,How do you handle dependency injection in AngularJS
311, Have you used LINQ before5
312, 
313,What is promises in AngularJS
314, 
315,What is a service in AngularJS 
316,What is a factory in AngularJS 
317,What is the difference between them
318, Use javascript to write a function to test whether a string is a palindrome string
319, Abstract class vs Interface2
320,net framework features
321,net framework
322,Angular Questions
323,How do you rate yourself in AngularJS
324,What are the filters in AngularJS
325,What is routing in AngularJS
326,What is deep linking in AngularJS
327,What is MVC
328,What is the order by filte
329,How does Angula
330,Module works
331,What is nginclude directive
332,What is RouteScope
333,What is AngularJS extensibleextensibilityextensibl
334, page life cyclehttpwww
335, Delegate in Chttpsmsdn
336, event delegate in Chttpstackoverflow
337, 
338,What are the types of cachehttpstackoverflo
339,comquestions9728211cachetypesapplicationcache6
340,sql acid propertieshttpblog
341, Can you do multiple inheritance in Chttpstackoverflow
342, Serialization in Chttpstackoverflow
343, 
344,What are interfaceshttpstackoverflo
345, Web API
346,Dependency Injection in Angular
347,Have you used Angular 1
348,how to display duplicate records from the tabl
349,What is html canvas
350,bunch c questionscan a class have multiple inheritance
351,how to inheritance multiple
352,what is protected
353,what is protected internal
354,what is base class i
355,net all classes derived from
356,what is immutabledifference between string and stringbuildercan we have different data type in arra
357,how to sort a array
358,what is access by key valueif try catch didnt execute it will reach finally Yesnocan you have multiple try and cat
359, 
360,What does an MVC model binder do
361, Describe 
362,how you would set up the structure an AJAX and be able to handle the responses coming back from it
363, 
364,What would you do to be able to handle errors Or a success from an AJAX call1
365, 
366,What type of security implementation do you use in your MVC projects1
367, 
368,How do you go ahead and
369,how do you start off with a UI design and 
370,how do you take UX into consideration1
371, You have an excel spreadsheet that is going to be broken up into multiple sheets and each one of those sheets is going to represent a page
372, And the data elements that are expected on that page
373, 
374,How do you start off 
375,How do you take that and
376,how do you start your design aspect1
377, Once you come up with your designs does anybody review them 
378,What is the process1
379, 
380,What are some of the things that you take into from a technical perspective when you are designing a front end1
381, When you are thinking about some of the containers or controllers that are going to be providing functionality 
382,what are some things you take into consideration1
383, 
384,What are some of the basic class that youd need to use to create a responsive grid2
385, 
386,What type of client side scripting have you done2
387, Left outer join for LINQ30
388, When do you choose to use master pages35
389, You can create packages of themes outside of master pages
390, When would you want to use this instead of master pages36
391, 
392,What have you done in Angular3
393, 
394,What is binding model in Angular
395,How do you structure your project to do that3
396, If you are using Angular on top of an MVC project 
397,how do you determine 
398,what Angular based components you will be using versus MVC componen
399, 
400,What version of Angular
401,NET MVC and Angular as well4
402, 
403,How are request processed in MVC
404, 
405,How do you implement role based authorization in MVC1
406, 
407,How do you handle errors in MVC1
408,NET Web APA14
409, Explain briefly your current application architecture
410, Explain your data flow for Angular
411, Do you use any orchestration layer in your Angular application17
412, Have you implemented any C design pattern18
413, Explain factory design pattern
414, Have you worked on LINQ21
415, Explain 
416,what is LINQ2
417, 
418,What are the variants of LINQ available2
419, 
420,What is partial view in MVC2
421, Briefly explain the layers involved in your SOA and their functionalities
422, 
423,How do Angular components interact There is a dropdown list that lists countrie
424, 
425,How does the interaction for these components interact in Angular2
426, 
427,How do interceptors work in Angular3
428, If I am using a pagination directive 
429,how can I be sure that it is being used multiple times in the same pag
430, 
431,What technologies did you use in your current project UI Rest API Backend Database
432, 
433,How was data being transported from Web API to Angular JS 
434,What request did you hav
435, Did you use factory or service to connect to your Web API8
436, 
437,What tool did you use in Angular to make your Web API call I want to know the synta
438, 
439,What is the difference between GET and POST I know that GET retrieves data and POST is uploading dat
440, Even when we use POST we are retrieving data so 
441,what is the real difference For example when you simulate a GET and a POST call in Fiddler 
442,what is the difference1
443, 
444,How do you make an AJAX call synchronous1
445, 
446,What is the return type of a GET or POST call1
447, 
448,What does FirstOrDefault do in LINQ2
449, Write a LINQ query that joins two tables
450, 
451,How do you convert jQuery code to Angular code using directives2
452, 
453,How do you use Entity Framework to get data from database in a list2
454,AngularDifference between controller and serviceInitiate controller vs service  
455,how they differentAdvantage of directivesPromise vs callbackany experience with angular2MVC concept  advantage using i
456,How MVC worksput vs patchput http verb forpost http verb forpatch  http verb forCORS 
457,how to handle itadvantage and disadvantage with multiple indexes in tabl
458,how to do 2way data binding in angularjs
459,what is the difference between ngmodel and ngbinddifference between promise and callback in JStypes of providers in AngularJ
460,how to do inheritance in JS
461,what is closure
462,what is isolation scope
463,what is the issue with
464,x related to 2 way data binding
465,what is action filters in MV
466,how to do serialization in WCFdifference between IENumerable and IQuerabl
467,Angular
468,What is directiv
469,How you achieve two way databinding
470,What is difference between promise and callback
471,What is the advantage of single page applicationCCan you inheritance multiple classDifference between String and String build
472,RedirectMVC
473,How you achieve routingWeb APIDifference between PUT and POS
474, Web developer with very strong Asp
475,net  C SQL 2012 JavaScript Entity Framework WCF and very strong UI development using Bootstrap and AngularJs  Expert Level
476,It was a Vendor interview on Phone Call
477,What is Union and Union All in SQL
478,What are join in SQL
479,What is Scope in AngularJsDescribe Angular Js Architectur
480,How to Integrate Bootstrap with Angular JsWhich C version youve used
481,What is two way binding in Angular JsIs ASP MVC Is two way bindingWhere to use Ht
482,Get and http
483,Post
484,How to connect Database with AngularJs
485,What is NGRepeatN
486,howNGHid
487, Have you ever used this
488,What is AJA
489,MVC
490,What is routing in mvc
491,What is in routing tabl
492,How the routing works
493,What is the life cycle of each request
494,What are action filter
495,How to secure the site other than the usual loginidpassword way
496,What are difference between tempdata vs viewdata
497,What is viewba
498,how is it different from viewdataIn general 
499,why do we use design patter
500,What design pattern used in the past experience Briefly explain each and case use 
501,SQLAdvantage of inline function and store procedure
502, 
503,Why do you use one over anothe
504,What is SQL injection
505,How do you prevent it
506,What are different joinsIf you have 3 tables 1st one with few hundreds records 2nd one with few thousands records and 3rd one with few millions recor
507,When perform joinsfilter on three tables which way is faster from smallest to largest or largest to smallest
508,What is SQL profiler Brief explain past experience using i
509, 
510,What motivated you to move from Webforms to MVCQ
511, 
512,Why did you use jQuery and AJAXQ
513, Which approach did you use for Entity Framework Code first or database firstQ4
514, 
515,Why did you use Angular JSQ
516, Have you used Web API Have you used Node JS Which ones betterA
517, I answered I prefer Node JS because that is 
518,what I have worked with on my project so Im more comfortable with i
519, Have you worked with NoSQL Which database in particularQ8
520, Would you be comfortable with Angular 2
521,Round 1Syntax for creating object variable in JavaScript Which tool you have used for version Controlversion you have usedexplain 
522,how will you resolve conflict on your pageRound2It was coding roundi had to create MVC application where employee name and department name is to bind todropdown based on that the list of employees had to filter and when we click on employeein employees list the detail of empolyee should be displayed in modal popu
523,In sql server i had to create 2 table employees and departmentstore proceduresRound 3IT was with Project managerthey asked me question about my resume and explained me about position
524,Managerhe asked me questions like 
525,Why you want to work with GE
526,What are your expectation from your Project manger Qualitites needed in good project manage
527,1 Web Api pipeline2 Triggers and their types and can we use select statement in triggers3 
528,how angular js commumnicated with web api4 
529,what is 3tier architecture5 Store procedure6
530,how you implement authentication and authorization in webforms7 
531,how to implement authentication and authorization in angular js using webapi8 
532,How does webforms communicates with database9 
533,How many team members have you worked with10 tell me something you have worked with according to our company requirements11 difference between union and union all12 tell me about angular js project you have worked13 
534,How to improve performance in front end in html if you have 1000 of records14 Fiddler15 Code first approach and data first approa
535,What are the differences between Web APIWCFWeb Services
536,What are the differences between HTTP and HTTPS
537,What do you expect from HTTP callIf you go into your browser and type in a http link
538,what are the steps it went through
539,Whats the benefit using AngularJS
540,What are the differences betweenA
541,NETMVC
542,What is the major benefit using MVC
543,What is hash tableDifference between hash table and dictionar
544,Whats the differences between interface and abstractCWhen you writing store procedure
545,what will you use temp table or table variable
546,Whats the difference between UNION and UNION all and which one is fast
547,Difference between class and object
548,Why we consider javascript client side languageWhen we enter a site on brower
549,what are the steps usally happenAny tools used before to test http calls
550,What does a http call usually return
551,What does AJAX call retu
552,How you make a AJAX call
553,Why do we need asynchronous callIn javascript
554,whats the difference between let and v
555,Whats the difference between promise and callbackUsed any SCSsource control system before
556,what are they use fo
557,How Angular binding workDifference between onewaytwoway binding and ngmode
558,NET MVC in controller 
559,what is return type for a view
560,What does JSONresult return
561,What is the base class these result derive fromand few more questions I dont rememb
562,What is the difference between interface and abstractEvery single Method declared in an Interface will have to be implemented in the subclas
563,a class that implements an interface must provide an implementation of all the methods of that interfaceabstract classes may contain state data members andor implementation methodsabstract classes can be inherited without implementing the abstract methods though such a derived class is abstract itselfCan you implement multiple interfacesA class can implement multiple Interfaces
564,If two interface have the same method signiture can you those interfaces implement in the same classif the return types are the same you can
565,What is a generic typeIn a generic type or method definitiona type parameters is a placeholder for a specific type that a client specifies when they instantiate a variable of the generic typ
566,What does the T stands for in generic typearbitrary type T
567,What is an extention method in LINQ queries
568,What is an ananymous type
569,What parameter takes WHERE clas
570,how does this where condition mapped to the collection object
571,What is a delegateDelegates are essentially function pointers but with extra multicast capabilities built 
572,So you can assign several functions to the same delegateand they will all be called in sequence when the delegate is called
573,What is an event handlerWhen events occur the application should be able to respond to it and manage i
574,NET raised at the client machine and handled at the server machine
575, Web
576,NET engine http moduls verifies and giv it to the server
577,On the client
578,Difference between Web API and WCF
579,Difference between WCF binding and basic Http binding
580,Coelsce functionDifferent joins
581,How to join two tables on different server
582,Defining the database object
583,What reporting tools did you use reporting toolsControl flow in SSRSDynamic sq
584,How to implement dynamic quer
585,What are nullable types
586,What is a temptabl
587,what is the difference between unique and primary keys
588,what is table variableThere is a query with 20 Join
589, 
590,How do you solve the problem
591,What is an interface
592,What is a class and module in 
593,How to pass data between cotrollers and views
594,How to find duplicates in SQL
595,How do you create modal pop up with J
596,You have a DB and pass data from dB to the client through WCF
597, The data coming from the client side is corrupted
598,Questions about 
599,how to debug front end backend
600,what are the html extenders in MVC
601,what do you do to learnget familiar with an applicati
602,null vs undefined vs  which is fasterRest verbs http requestDescribe two programming paradigms in JS
603,What patterns are used in JSDifference between prototypical and classic inheritance in JSDescribe functional programmingPros and Cons between functional programming and OOP in J
604,What is asynchrouns programming 
605,Why is that importantPros and cons between microservice and model for restful applicatio
606,What are optimization strategie
607,How do you do unit testing for a function returning Hello World in Jasmin
608,ArrayArraylistHashtablePerformance differences between these threeSealed classTDDUnit Testing
609,Struct vs class
610,Abstract vs interface In common they enforce certain hierarchies for all the sub classes
611,Which classes are the delegates derived from System
612,What are partial classes1
613,How to implement singleton design patter
614, design pattern where did you use2
615,LINQ did you use conventional one or lambda
616,How do you provide authentication and security in WCFkendogrid performs paging client side or server side 
617,what is the specificrequrement in your project to use kendo grid and 
618,why you implemented paging which collection is faster
619,why bootstrap even if we can achieve it by css 
620,why not 
621,how do you return data in xml from databasecross apply and outer apply in sql server
622,how do you query xml using linqcan you query html using linqWebApi securitywhen do you generate token and 
623,how furthur reuests and responses will use token and 
624,how do you consume apis using angularjs and mvcajax
625,How do you provide security if i directly call web api from browsermvc actionresult reurn type
626,how do you make mvc asynchronous calls other than ajaxajax helpersMVC request life cycleIQueryable vs IEnumerabl
627,How do you provide authentication and security in WCFkendogrid performs paging client side or server side 
628,what is the specificrequrement in your project to use kendo grid and 
629,why you implemented paging which collection is faster
630,why bootstrap even if we can achieve it by css 
631,why not 
632,how do you return data in xml from databasecross apply and outer apply in sql server
633,how do you query xml using linqcan you query html using linqWebApi securitywhen do you generate token and 
634,how furthur reuests and responses will use token and 
635,how do you consume apis using angularjs and mvcajax
636,How do you provide security if i directly call web api from browsermvc actionresult reurn type
637,how do you make mvc asynchronous calls other than ajaxajax helpersMVC request life cycleIQueryable vs IEnumerabl
638,Extension methods And code for that using this keyword and staticPartial classesGeneric collections and methods for stackVar and dynamic keywordAutomatic propertiesreadonly vs constIQueryable vs IEnumerabledefered exeution and immediate executionsome linq queries both query syntax and method syntaxlambda expressionlazy loading and eager loadingrouting in web apiauthentication and authorization
639,what encryption technique you used to store password in databasedata annotationsexception handling and 
640,what kind of exception template or error message did you use to handle exceptions in web ap
641,how do you debug webapi using fiddlercontent type in content negotiationDesign patternsbridge patter
642,Mostly Project Related questions and on following topics1
643, Web API2
644, Features of MVC 55
645, Features of SQL Server 20146
646,Screening Interview by client
647,How to implement data entity modelExplain flow of data using AD
648,net
649,How to optimize your data base
650,How did you make connection to your database without using entityHave you ever worked with huge amount of data records and
651,how did you handle i
652,ready functionsmodel binders
653,how to handle two submit buttons in one form in mvccode refactoringunit testing
654,What was the mistake that you did in your projec
655,what did you develop in your project that you can say proudlyRoutings in m
656,Features of MVC that you find most usefulSQL JoinsQueries Types ExamplesPassing data from Controller to controllerDelegatesAngular RoutingAngular DirectivesCustom Directives
657,What is it 
658,Why to use SyntaxMVC FiltersException HandlingSession Management in MVCSession Management in Web Forms Token Based Authentication Contracts in WCF services Fault Contract in W
659,How to us
660,Describe OOP
661,What different between abstract vs interface
662,What is differencebetween value vs ref
663,What is the difference between string vs string builder
664,What is difference between API and MVC
665,What is Protect access modifier
666,What is internal access modifier
667,What is different between overloading and overridingis it possible to override a static method in derived clas
668,How to you prevent a class from being inherit
669,What is Cursor
670,What is difference between delete and truncat
671,what is difference between stored procedure and functio
672,How do you improve SQL executionDo you know 
673,what is execution Pl
674, difference between hash table and dictionary2
675,which part of a application do you enjoy coding is it UI or back end
676,aunthentication and authorization in MVC5
677,Password encryption in database6
678,3rd normalization in SQl database design7
679, 
680,what are the unit test frameworks that you are familiar with1
681,how often do you run the application and unit test1
682, have gone through the design documents of your fellow developer when he is not around
683, when does the QA team test your application
684,SQL
685,What is a stored procedure
686,Why would you use temp da
687,How would you check for error in store procedureWhere and when would you use triggerJQuery
688,What is Cross Site Scripting
689,What is SQL Injection
690,What have you work with in JQue
691,1 He asked me about my Background2Html 5 features3Responsive Web Design4Basic Question about Object Oriented inheritanceobjectEncapsulation5
692,how to make table border curved6token Based Authentication7Action Filters8
693,what is RestFull Applicati
694,How would you represent Animal Kingdom in a Class structure Dictionary Vs Generic Lists and Hash tablesPerformance Memory Usage Efficiency etc Features of C that you find most usefu
695, Features of MVC that you find most useful
696, Testing in MVC
697,Why
698,How Documentation work for the project Interaction with the testing tea
699,Web Api Web Services
700,How and where in the projectREST vs SOAP
701,Why MVC
702,Why AngularSecurity in the proje
703,1 Introduce yourself2 Tell me about latest projectSQL1 Joins and different kinds of joins2 Index and different kinds of index3 stored procedure  where you used it in your project4 triggers5 viewsOther technical questions1 Closure2 Design pattern3 Dependency injectionExplain all the projects you have worked on
704,Do you face any performance issues in previous projectsSQL
705,How do increase the performance of a viewIn Jquery 
706,How do you select the particular Element from DOMUse of Repository pattern
707,What are clusterINDEXdifference between Temptable temp variable and ViewCan you call the stored procedure and Userdefined Functions in select statementsDo you ever used third party too
708,Description of technologies you usedTriggers on entity frameworkIn Entity Framework 
709,what is pluralizedExtension of Entity Framewor
710,How do you get store procedure into Entity FrameworkThird Party controls for front End
711,What is RazorHave you worked on Code first approa
712,Asked some questions based on projects index in SQL clustered nonclustered 
713,what is interface difference between reference type and value type difference between data adapter and reader 
714,whatwher
715,how do you use linq design pattern singleton and factory string gt i talked about it and also mention string builderthere are more cant remember the
716,Introduce yourselfDifference Between Class and Structure
717,How do you test the store procedure
718,what are the triggers you used in your projectsValue type VS Reference type
719,why we use LIN
720,what is IQueryablenamespace for using IEnumerableDebug a page which is not loading the particular webgr
721,What are views and indexes and different types of indexes and
722,how you implemented it
723,How do you check the checkbox is checked using angularJs
724,How do you make sure that all the corresponding class objects are loaded in the application if not
